No,약어,영문/원문,한글 해석
2289,SCA,Single Component Adhesive,단일 성분 접착제
2290,SCA,Supply Chain Alignment,공급망 정렬
2291,SCADA,Supervisory Control And Data Acquisition,Supervisory Control And Data Acquisition
2292,SCAP,Supplier Carbon Action Program (also Supplier Climate Action Program),Supplier Carbon Action Program (또는 Supplier Climate Action Program)
2293,SCB,Sports Classic Basketball,Sports Classic Basketball
2294,SCC,Sample Creation Center,샘플 크리에이션 센터
2295,SCC,Supply Chain Collaboration,공급망 협업
2296,SCEM,Supply Chain Event Management,공급망 이벤트 관리
2297,SCF,Sports Classic Fitness,Sports Classic Fitness
2298,SCF,Super Critical Fluid,초임계 유체
2299,Schedule line,수주오더 입력된 자재에 대한 가용납기를 확인할 수 있는 view,수주 오더에 입력된 자재의 가용 납기를 확인할 수 있는 뷰
2300,Scheduling,"일정계획에서는, 시스템이 order나 order의 operation들의 시작 및 종료 일자를 계산한다. 일정계획은 다음에서 기술된 기능들에서 수행된다  - MRP material 마스터레코드에 지정된 내부생산시간과 배달시간이 고려된다.  - Capacity planning 일정계획은 task list(routing이나 검사 계획)를 통해 수행된다. 리드타임 scheduling과 용량(capacity) scheduling에는 차이가 있다. 전자는 용량부하(capacity loads)를 고려하지 않고, 후자는 용량 부하를 고려한다.  - Networks scheduling은 용량 소요(capacity reqiurements), floats, 활동(activities) 실행의 earliest/latest 일자를 계산한다.다음과 같은 일정계획 유형이 있다  - Forward scheduling 일정계획이 시작일자로부터 시작한다.  - Backward scheduling 일정계획이 종료일자로부터 시작한다.  - 현재일자 scheduling 일정계획이 현재일자로부터 시작한다.  - ＂Today＂ scheduling network/order의 시작일자가 과거에 있는 경우 일정을 다시 잡는데 사용되는 일정계획 유형.","일정계획에서는, 시스템이 order나 order의 operation들의 시작 및 종료 일자를 계산한다. 일정계획은 다음에서 기술된 기능들에서 수행된다  - MRP material 마스터레코드에 지정된 내부생산시간과 배달시간이 고려된다.  - Capacity planning 일정계획은 task list(routing이나 검사 계획)를 통해 수행된다. 리드타임 scheduling과 용량(capacity) scheduling에는 차이가 있다. 전자는 용량부하(capacity loads)를 고려하지 않고, 후자는 용량 부하를 고려한다.  - Networks scheduling은 용량 소요(capacity reqiurements), floats, 활동(activities) 실행의 earliest/latest 일자를 계산한다.다음과 같은 일정계획 유형이 있다  - Forward scheduling 일정계획이 시작일자로부터 시작한다.  - Backward scheduling 일정계획이 종료일자로부터 시작한다.  - 현재일자 scheduling 일정계획이 현재일자로부터 시작한다.  - ＂Today＂ scheduling network/order의 시작일자가 과거에 있는 경우 일정을 다시 잡는데 사용되는 일정계획 유형."
2301,Scheduling agreement,"개괄계약(outline agreement)의 한 형태(장기간, volume 구매 협약). Delivery scheduling agreement는 vendor와 고객의 장기 협약으로, 협약의 각 항목에 지정되있는 material들의 배달 일정(vendor 일정)의 생성 및 갱신을 수반한다.","개괄계약(outline agreement)의 한 형태(장기간, volume 구매 협약). Delivery scheduling agreement는 vendor와 고객의 장기 협약으로, 협약의 각 항목에 지정되있는 material들의 배달 일정(vendor 일정)의 생성 및 갱신을 수반한다."
2302,SCI,Sustainable Compliance Index,Sustainable Compliance Index
2303,SCK,Sports Classic Children,스포츠 클래식 키즈
2304,SCM,Supply Chain Management,Supply Chain Management
2305,SCO,Sports Classic Other,Sports Classic Other
2306,SCP,Supply Chain Planner,Supply Chain Planner
2307,SCP,Single Component Primer,단일 성분 프라이머
2308,SCQ,Sports Classic Racquet,스포츠 클래식 라켓
2309,SCR,Sports Classic Running,스포츠 클래식 러닝
2310,SCS,Supply Chain Security,Supply Chain Security
2311,SCW,Sports Classic Walking,스포츠 클래식 워킹
2312,SDA,Shoe Dog Academy,Shoe Dog Academy
2313,SDCA,Standardize - Do - Check - Action,표준화 - 실행 - 점검 - 조치
2314,SDD,Sourcing Digitalization Delivery,소싱 디지털화 딜리버리
2315,SDD,Statistic Delivery Date,Statistic Delivery Date
2316,SDL Press,Single Day Light Outsole Press,단일 일회 조명 아웃솔 프레스
2317,SDM,Speed Distance Monitor,속도·거리 모니터
2318,SDM,Solid Deposition Modeling,고체 적층 모델링
2319,SDP,Skill Development Plan,역량 개발 계획
2320,SE,Sea Air,해상·항공 운송
2321,SEC MANA,Strategic Enterprise Capabilities - Marketplace Activation North America,Strategic Enterprise Capabilities - Marketplace Activation North America
2322,SEM,Scanning Electron Microscope,주사 전자 현미경
2323,SFG,Soft Full Grain,Soft Full Grain
2324,SG,Specific Gravity,비중
2325,SGC,Solid Ground Curing,Solid Ground Curing
2326,SGS,Societe Generale De Surveillance,Societe Generale De Surveillance
2327,SHAPE,"Safety, Health, Attitude, People, Environment","안전, 보건, 태도, 사람, 환경"
2328,SHC,Seoheung Company,Seoheung Company
2329,Shipment Operation Plan,고객의 납기를 맞추기 위한 출하 계획 시스템,Shipping planning system to meet customer delivery dates
2330,Shipping condition,제품을 고객에게 인도하기 위한 전반적인 전략. 예를 들어 제품이 가급적 빨리 고객 위치에 도착되어야 한다고 출하조건에 규정되어 있는 경우 제품을 가장 빨리 납품할 수 있는 출하점과 운송경로가 시스템에 의해 자동적으로 제안된다.,제품을 고객에게 인도하기 위한 전반적인 전략. 예를 들어 제품이 가급적 빨리 고객 위치에 도착되어야 한다고 출하조건에 규정되어 있는 경우 제품을 가장 빨리 납품할 수 있는 출하점과 운송경로가 시스템에 의해 자동적으로 제안된다.
2331,Shipping point,특정장소에 고정되어 출하활동을 수행하는 조직단위. 출하점은 기업의 발송부서 또는 Plant의 철도역 등이 될 수 있다.,특정장소에 고정되어 출하활동을 수행하는 조직단위. 출하점은 기업의 발송부서 또는 Plant의 철도역 등이 될 수 있다.
2332,Ship-to party,제품이 인도되는 배달처.,제품이 인도되는 배송지
2333,Shop Scheduling,기계별 작업계획,Machine-specific work plan
2334,SHOX,Shox Foam Column,Shox Foam Column
2335,SHOX/RN,Shox/Running,Shox/러닝
2336,SHOX/XT,Shox/Crosstrainning,Shox/크로스트레이닝
2337,SIF,Solid Interchange Format,솔리드 교환 포맷
2338,SIF,Shipped In Full,완전 출고
2339,SII,Seasonal Innovation Integration,시즌별 혁신 통합
2340,SIL,Seasonal Innovation Launch,시즌별 혁신 론칭
2341,Silo,Consumer Group In Active Life,Active Life 카테고리의 소비자 그룹
2342,SIM,Seasonal Integration Meeting,시즌 통합 미팅
2343,Single-level BOM,하나이상의 어셉블리를 표현하는데 사용되는 구성부품(component)들의 수량.,하나 이상의 어셈블리를 표현하는 데 사용되는 구성 부품(component)들의 수량.
2344,SIP,Sourcing Incentive Program,소싱 인센티브 프로그램
2345,SIPS,Standard In-Process Stock,Standard In-Process Stock → 표준 공정 재고
2346,SIS,sales information system 약어,판매 정보 시스템
2347,SIT,System Integration Testing,시스템 통합 테스트
2348,SKF,Statistical key figure 약어,통계 기준 수치
2349,SKU,Stock Keeping Unit,재고 관리 단위
2350,SKU,Sports Knowledge Underground,Sports Knowledge Underground
2351,SL,Seasonal Launch,시즌런칭
2352,SL,Severity Level,심각도 수준
2353,SLA,Stereo Lithography Apparatus,Stereo Lithography Apparatus
2354,SLA,Service Level Agreement,서비스 수준 계약
2355,SLB,Siberia Land Bridge Service,시베리아 랜드 브리지 서비스
2356,SLCP,Social Labor Convergence Program,Social Labor Convergence Program
2357,SLI,ShipperS Letter Of Instruction,Shipper의 선적 지시서
2358,SL-IDS,Stick Length – Internal Dimension Of Shoe,Stick Length – 신발 내부 길이 (내측 치수)
2359,SLP,Soft Leather Program,소프트 레더 프로그램
2360,SLS,Selective Laser Sintering,Selective Laser Sintering
2361,SLT,Short Lead Time,짧은 리드 타임
2362,SLT,Senior Leadership Team,Senior Leadership Team
2363,SM,Shared Manufacturing,Shared Manufacturing
2364,SM,Sustainable Mobilization,Sustainable Mobilization
2365,SM,Sustainable Manufacturing,Sustainable Manufacturing
2366,SM Trial,Simultaneous Trial,동시 착화 테스트
2367,SM&S,Sustainable Manufacturing And Sources,지속 가능한 제조 및 소싱
2368,SMART,Specific Measurable Achievable Realistic Timebound,Specific Measurable Achievable Realistic Timebound
2369,SME,Sustainable Manufacturing Excellence,지속 가능한 제조 우수성
2370,SMF,Seasonal Material Forecast,시즌별 소재 수요 예측
2371,SMI,Sustainable Manufacturing Index,지속가능한 제조 지수
2372,SMM,Season Merchandising Meeting,Season Merchandising Meeting
2373,SMP,Sustainable Manufacturing Performance,지속 가능한 제조 성과
2374,SMP,Scientific Manpower Plan,과학 인력 계획
2375,SMS,Standard Minutes,표준 작업 시간
2376,SMS,Sustainable Manufacturing Sourcing,지속 가능한 제조 소싱
2377,SMSI,Sourcing And Manufacturing Sustainability Index,Sourcing And Manufacturing Sustainability Index
2378,SMU,Special Make-Up,스페셜 메이크업
2379,SN,Single Material Number,단일 자재 번호
2380,SO,Shipping Order,Shipping Order
2381,SOC,Soccer,축구
2382,SOH,Strategic Overhead,전략적 간접비
2383,SOM,Serviceable &amp; Obtainable Market,서비스 가능 및 획득 가능 시장
2384,SOP,Standard Operating Procedure,표준 운영 절차
2385,SOP,Standard Of Process,공정 표준
2386,SOS,Season Over Season,전년 동기 대비
2387,SOT,Sample Order Tracking,샘플 오더 추적
2388,SOT,Shipped On Time,정시 출고
2389,Source list,"Material에 대한 가용한 공급원들의 리스트로서, 그러한 공급원들로부터 조달이 가능한 기간을 보여준다. 공급원 리스트는 어느 시점에서의 적절한(효과적인) 공급원(vendor, 내부 공장, 개략협약 항목)을 결정하도록 돕는다","Material에 대해 가용한 공급원들의 목록으로, 각 공급원으로부터 조달이 가능한 기간을 보여준다. 이 공급원 목록은 특정 시점에서 적절한(효과적인) 공급원(vendor, 내부 공장, 개략협약 항목)을 결정하는 데 도움을 준다."
2390,Source list (MM),"Material에 대한 가용한 공급원들의 리스트로서, 그러한 공급원들로부터 조달이 가능한 기간을 보여준다. 공급원 리스트는 어느 시점에서의 적절한(효과적인) 공급원(vendor, 내부 공장, 개략협약 항목)을 결정하도록 돕는다","Material에 대한 가용한 공급원들의 리스트로서, 그러한 공급원들로부터 조달이 가능한 기간을 보여준다. 공급원 리스트는 어느 시점에서의 적절한(효과적인) 공급원(vendor, 내부 공장, 개략협약 항목)을 결정하도록 돕는다"
2391,SP,Spring,스프링 (Spring 시즌)
2392,SP,Supply Planner,Supply Planner
2393,SP,Succession Plan,승계 계획
2394,SP,Special Project,Special Project
2395,SP&M,Succession Plan And Management,Succession Plan And Management
2396,SPA,Supply Planning Analyst,Supply Planning Analyst
2397,SPA,Specialty Store Retailer Of Private Label Apparel,자체 상표 의류 전문 소매업체
2398,SPA,Seasonal Partner Alignment,시즌별 파트너 정렬
2399,Spare part,"결함이 있는 부품을 대체하는 material. 이 material은 재고로 보관되거나 그러지 않을 수 있다. 예비 부품은 유지보수 BOM(maintenance BOMs)에 입력할 수 있다. 공장 유지보수 목적으로, 예비품은 설비의 다양한 operation들에 할당될 수 있다.",결함이 있는 부품을 교체하는 자재. 이 자재는 재고로 보관될 수도 있고 보관되지 않을 수도 있다. 예비 부품은 유지보수 BOM에 입력할 수 있다. 공장 유지보수 목적을 위해 예비품은 설비의 다양한 작업에 할당될 수 있다.
2400,SPC,Shared Production Creation,공동 생산 크리에이션
2401,SPC,Statistical Process Control,Statistical Process Control
2402,SPEC,Specification,명세
2403,Special G/L account,"보조부상의 특별한 거래(선수금, 선급금, 어음, 보증금, 지급보증 등 판매나 구매와 직접적으로 관련이 되지 않는 거래)를 기록하기 위한 조정계정(reconciliation account)으로 일반적인 조정계정과 구분된다.","보조부상의 특별한 거래(선수금, 선급금, 어음, 보증금, 지급보증 등 판매나 구매와 직접적으로 관련이 되지 않는 거래)를 기록하기 위한 조정계정(reconciliation account)으로 일반적인 조정계정과 구분된다."
2404,Special G/L indicator,"특별 G/L거래를 구분해 주는 한 자리로 된 표시자. 특별 G/L거래에는 계약금과 (환)어음, 보증금, 지급보증 등이 있다.","One-character indicator used to distinguish special G/L transactions. Special G/L transactions include down payments, bills of exchange, deposits, and guarantees."
2405,Special procurement type,"Material 마스터레코드의 지시자로서, 이것으로 material의 조달유형이 좀더 정밀하게 결정된다.","Material 마스터레코드의 지시자로서, 이것으로 material의 조달유형이 좀더 정밀하게 결정된다."
2406,Special stock,"보관 위치와 관련한 소유권에 따라 개별적으로 관리되어야 하는 material들의 재고. 예를들어, vendor의 위탁 재고(consignment stock)가 그것이다.","Stock of materials that must be managed individually according to ownership based on storage location. For example, a vendor’s consignment stock."
2407,Special stock (MM),"보관 위치와 관련한 소유권에 따라 개별적으로 관리되어야 하는 material들의 재고. 예를들어, vendor의 위탁 재고(consignment stock)가 그것이다.","Inventory of materials that must be managed separately according to ownership related to storage location. For example, vendor consignment stock."
2408,SPEED,Shorten Production Efficient Expedite Delivery,"생산 기간 단축, 효율성 향상, 납기 가속화"
2409,SPHR,Senior Professional in Human Resources,시니어 인사 전문가
2410,SPI,Strategy Performance Index,전략 성과 지수
2411,SPI,Stitch Per Inch,인치당 스티치 수
2412,SPM,Supplying Plan Management,공급 계획 관리
2413,SPR,Seasonal Product Review,시즌별 제품 검토
2414,SPS,Smart Prefit System,Smart Prefit System
2415,SPT,Strategy And Planning Team,Strategy And Planning Team
2416,SQCM,Per Square Centimeter,제곱센티미터당
2417,SQM,Sequence Management,시퀀스 관리
2418,SQM,Sequence Production Management,시퀀스 생산 관리
2419,SQM,Sequence Quality Management,시퀀스 품질 관리
2420,SR,Schedule Release,릴리즈 일정
2421,SR,Sample Request,샘플 요청
2422,SR,Severity Rate,Severity Rate
2423,SR,Short Range,단거리
2424,S-Rate,Standard Rate,표준 요율
2425,SRCA,"<span style=""font-size: 10pt; font-family: Calibri; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; letter-spacing: 0pt; vertical-align: baseline;"">Systemic Root Cause Analysis</span>",체계적 근본 원인 분석
2426,SRF,Sample Request Form,샘플 요청서
2427,SRMS,Strategic Raw Material Sourcing,전략적 원자재 소싱
2428,SRO,Strategic Roll Out,전략적 롤아웃
2429,SS,Sales Sample,Sales Sample
2430,SS,Shopfloor Scheduling,생산 현장 스케줄링
2431,SSA,Single Side Adhesive,단면 접착
2432,SSC,Supplier Sustainable Council,Supplier Sustainable Council
2433,SSI,Sports Style Innovation,Sports Style Innovation
2434,SSO,Sales Sample Operations,Sales Sample Operations
2435,SSO,Sales Sample Ordering,Sales Sample Ordering
2436,SSP,Strategic Sourcing Program,Strategic Sourcing Program -> 전략 소싱 프로그램
2437,SSQR,Sale Sample Quantity Report,판매 샘플 수량 보고서
2438,SSRI,Seasonal Size Run Imbalance,시즌별 사이즈별 생산 비불균형
2439,SSS,Smart Stitching System,Smart Stitching System
2440,SSSA,Semi-SSA (Single Side Adhesive),"Semi-SSA (Single Side Adhesive, 단면 접착)"
2441,SST,Sourcing Scenario Tool,소싱 시나리오 툴
2442,ST,Standard Time,표준 시간
2443,ST,Short Ton,쇼트톤
2444,ST Trial,Simultaneous Trial,동시 시착
2445,STAF,Special Technology Of Athletic Footwear,운동화 특수 기술
2446,Standard BOM,표준 객체에 대해 생성된 한 BOM. 표준 BOM은 공장 레벨에서 관리되지 않는다. 표준 BOM은 단순한 BOM으로 표준 BOM에 변형(variants)이나 대안(alternatives)들을 생성할 수 없다.,"표준 오브젝트에 대해 생성된 단일 BOM. 표준 BOM은 공장 레벨에서 관리되지 않는다. 표준 BOM은 단순한 BOM으로, 표준 BOM에서는 variants나 alternatives를 생성할 수 없다."
2447,Standard code,기준정보 마스터를 구성하는 속성이 참조하는 코드를 의미하며 참조코드의 그룹(참조코드/운영기준정보/전사기준정보)에서 또 도메인(PRODUCT/PART/MATERIAL/Biz Partner)별로 코드가 분류된다,"기준정보 마스터를 구성하는 속성이 참조하는 코드를 의미하며, 이 참조 코드는 참조코드/운영기준정보/전사기준정보 등의 그룹과 도메인(PRODUCT/PART/MATERIAL/Biz Partner)별로 분류된다."
2448,Standard cost,주기적인 표준설정시기에 계산된 제품(Material)의 단가.,Periodically calculated unit cost of a product (material) at standard-setting intervals.
2449,Standard cost estimate,제조원가 계산에서 가장 중요한 원가계산 방법이며 이익 계획 혹은 차이분석에 중점을 두는 제품원가 관리를 위한 기초가 된다. 표준원가는 일반적으로 모든 제품에 대하여 특정 회계연도 혹은 분기가 시작될 때 한번 계산된다. 표준원가 계산에서는 반제품과 완제품의 표준가격을 계산하며 표준가격관리를 받는 자재의 평가와 관련된다.,제조원가 계산에서 가장 중요한 원가계산 방법이며 이익 계획 혹은 차이분석에 중점을 두는 제품원가 관리를 위한 기초가 된다. 표준원가는 일반적으로 모든 제품에 대하여 특정 회계연도 혹은 분기가 시작될 때 한번 계산된다. 표준원가 계산에서는 반제품과 완제품의 표준가격을 계산하며 표준가격관리를 받는 자재의 평가와 관련된다.
2450,Standard price,물품 이동과 송장을 고려하지 않고 material을 평가하는 가격.,물류 이동과 송장을 고려하지 않고 material 자체만 기준으로 평가하는 가격.
2451,Standard price (MM),물품 이동과 송장을 고려하지 않고 material을 평가하는 가격.,물품 이동과 송장을 고려하지 않고 material만 기준으로 평가하는 가격.
2452,Statistical key figure,"비용의 배부 또는 통계적 목적으로 사용되는 값으로서, Cost element 이외의 여러 관리 Factor들의 측정단위. 예) 인원수, 사무실 면적, 결근률 등 - Fixed Value  한 Period에 데이터를 입력하면 나머지 Period에서도 자동적으로 같은 값을 반영함- Total Value  하나의 Period 에서만 Posting 됨","비용의 배부 또는 통계적 목적으로 사용되는 값으로서, Cost element 이외의 여러 관리 Factor들의 측정단위. 예) 인원수, 사무실 면적, 결근률 등 - Fixed Value  한 Period에 데이터를 입력하면 나머지 Period에서도 자동적으로 같은 값을 반영함- Total Value  하나의 Period 에서만 Posting 됨"
2453,Statistical key figure (SKF),Statistical key figure,통계 기준 지표
2454,STDD,Senior Tech Development Director,Senior Tech Development Director
2455,STL,Stereo Lithography,Stereo Lithography
2456,STLT,Short Term Life Test,단기 수명 시험
2457,Stock,"회사의 현재의 유동자산을 나타내는 자재관리 용어. 이는 회사의 저장소/창고 시설에 있는 원자재, 운영 공급품(operating supplies), 반제품, 완제품, 상거래 물품(trading goods)의 양을 언급한다. ＂inventory＂로도 알려져 있다.","회사의 현재 유동자산을 의미하는 자재관리 용어로, 회사의 저장소/창고 시설에 보관된 원자재, 운영 공급품(operating supplies), 반제품, 완제품, 상거래 물품(trading goods)의 수량을 말한다. “inventory”라고도 한다."
2458,Stock in quality inspection,현재 품질 검사중에 있는 재고. 품질 검사 재고는 가용재고(unrestricted-use) 재고가 아니다.,Stock currently under quality inspection. Inventory under quality inspection is not unrestricted-use stock.
2459,Stock transfer,한 저장소에서 material을 이동하여 다른 저장소로 옮기는 이전. 재고 이전은 한 공장내에서 일어날 수도 있고 공장간에 발생할 수도 있다. 재고 이전은 시스템에서 한 단계나 두 단계로 처리할 수 있다.,Transferring material from one storage location to another. Inventory transfer can occur within a single factory or between different factories. Inventory transfers can be processed in the system in one or two steps.
2460,Stock/requirements list,"가장 최근의 material 재고현황의 개요. 개요는 현재 관련된 모든 데이터(생산 주문, 판매 주문 등)를 모으는 기능을 통해 생성된다. 따라서, MRP 리스트가 최근 계획실행시의 재고/소요 현황를 반영하는데 비해 재고/소요 리스트는 material에 대한 가장 최근의 가용성 현황을 보여준다.","The most recent overview of material inventory status.  
This overview is generated by collecting all currently relevant data (production orders, sales orders, etc.).  
Therefore, while the MRP list reflects the inventory/requirements status at the time of the most recent planning run, the inventory/requirements list shows the most up‑to‑date availability status for the material."
2461,Storage location,"SAP R/3 에서는 두가지 측면을 가지는 저장 형태를 제공하는데, 상업적 측면에서의 ＂창고＂개념은 Storage Location으로, 물리적 측면에서의 ＂창고＂개념은 Warehouse 로써 지정하게 된다. - Storage Location  하나의 Plant에 여러 Storage Location이 할당될 수 있으며, 이러한 연결관계를 통하여 모든 저장소들은 Company Code와 직접 연결되게 된다. 모든 재고관리의 기본단위 또한 Storage Location 단계에서 이루어지게 된다- Warehouse  복잡한 저장장소에서 자재를 관리하기 위해 일반적으로 사용하게 된다 창고관리시스템(Warehouse Management System)에서는 보다 효율적인 자재관리를 위하여 Storage Type 이라는 세분화된 조직구조를 사용하고 있다. Storage Type은 저장방법의 차이에 따라 정해지게 되며, High-rack, Container area, Goods Receipt area, Picking area 등으로 나누어 볼 수 있으며, Storage Section으로 나눌 수 있다.","SAP R/3 에서는 두가지 측면을 가지는 저장 형태를 제공하는데, 상업적 측면에서의 ＂창고＂개념은 Storage Location으로, 물리적 측면에서의 ＂창고＂개념은 Warehouse 로써 지정하게 된다. - Storage Location  하나의 Plant에 여러 Storage Location이 할당될 수 있으며, 이러한 연결관계를 통하여 모든 저장소들은 Company Code와 직접 연결되게 된다. 모든 재고관리의 기본단위 또한 Storage Location 단계에서 이루어지게 된다- Warehouse  복잡한 저장장소에서 자재를 관리하기 위해 일반적으로 사용하게 된다 창고관리시스템(Warehouse Management System)에서는 보다 효율적인 자재관리를 위하여 Storage Type 이라는 세분화된 조직구조를 사용하고 있다. Storage Type은 저장방법의 차이에 따라 정해지게 되며, High-rack, Container area, Goods Receipt area, Picking area 등으로 나누어 볼 수 있으며, Storage Section으로 나눌 수 있다."
2462,STP,"Segmentation, Targeting, Positioning","세분화, 타기팅, 포지셔닝"
2463,STP,Special Trade Program,Special Trade Program
2464,STR,Supplier Test Report,공급업체 시험 보고서
2465,STTF,Sample Tooling Tracking Form,샘플 금형 추적 양식
2466,SU,Summer,여름
2467,Subcontracting,"SAP R/3 시스템에서, 외부 공급자가 고객이 제공하는 material을 처리하는 것.",SAP R/3 system where an external vendor processes customer‑provided material.
2468,Subcontracting (MM),"SAP R/3 시스템에서, 외부 공급자가 고객이 제공하는 material을 처리하는 것.","In SAP R/3 system, the processing of customer-provided material by external vendors."
2469,Sub-ledger accounting,"채권, 채무, 고정자산 등과 같은 보조원장을 사용하는 회계보조원장을 통해 G/L 조정계정이 전기된 전표의 내역을 알 수 있다.","Through the use of subsidiary ledgers such as bonds, debts, and fixed assets, it is possible to check the details of vouchers posted to G/L adjustment accounts via these subsidiary accounting ledgers."
2470,Sublimation,승화전사,승화전사
2471,Subsidiary ledger,"외상매출금, 외상매입금, 고정자산 등의 기록에 사용된다. 보조부는 G/L의 조정계정(reconciliation account)에 전기(posting)된 전표들에 대한 자세한 설명을 해주는 역할을 한다.","외상매출금, 외상매입금, 고정자산 등의 기록에 사용된다. 보조부는 G/L의 조정계정(reconciliation account)에 전기(posting)된 전표들에 대한 자세한 설명을 제공하는 역할을 한다."
2472,Subsidiary ledger(sub-ledger accounting),보조부,보조부
2473,Summarized BOM,제품에 포함되는 assembly들과 components의 전체 리스트를 보여주는 BOM 분석. 한번 이상 나타나는 assembly나 부품들은 그 양이 합쳐진다. 시스템은 여기에 요구 수량만큼 곱하여 하나의 항목으로 나타낸다.,제품에 포함되는 assembly들과 components의 전체 리스트를 보여주는 BOM 분석. 한번 이상 나타나는 assembly나 부품들은 그 양이 합쳐진다. 시스템은 여기에 요구 수량만큼 곱하여 하나의 항목으로 나타낸다.
2474,Supply Chain Management,고객원하는제품 원하는 장소 원하는 시간을 맞추는 제반관리 시스템,고객이 원하는 제품을 원하는 장소와 시간에 맞춰 제공하기 위한 종합 관리 시스템
2475,SUTF,Sample Upper Tracking Form,샘플 갑피 추적 양식
2476,SVHC,Substances Of Very High Concern,고위험 우려물질
2477,SvsD,Supply Vs Demand,공급 대 수요
2478,SW,Software,Software
2479,SW,Staging Warehouse,Staging Warehouse
2480,SW,Standardized Work,표준화된 작업
2481,SW,Solid Waste,고형 폐기물
2482,SW,Sports Ware,스포츠 웨어
2483,SWCT,Standardized Work Combination Table,표준화된 작업 결합 표
2484,SWDC,Serena Williams Design Crew,Serena Williams Design Crew
2485,SWM,Solid Wasted Management,Solid Wasted Management
2486,SWMC,Solid Waste Material Center,Solid Waste Material Center
2487,SWS,Standardized Work Sheet,Standardized Work Sheet
2488,T&D,Training And Development,교육 및 역량 개발
2489,T&E,Travel And Expense,출장 및 경비
2490,T&E,Travel And Entertainment,출장 및 접대비
2491,T&E,Travel And Environment,여행 및 환경
2492,T&F,Track And Field,Track And Field
2493,T/D,Tear Down (Meeting),분해 회의
2494,T/Orate,Turn Over Rate,이직률
2495,T/P,Tech Package,테크 패키지
2496,T2T,Team to Team,팀 간
2497,T5S,Total 5S,Total 5S 전체 적용
2498,TA,Technical Architecture,기술 아키텍처
2499,TAM,Technology Alignment Meeting,기술 정렬 회의
2500,TAM,Total Addressable Market,총 잠재 시장 규모
2501,Target cost,완성시점의 생산량에 의한 재무회계 기표원가. 표준원가 * 생산량(실제완성 입고 수량). 재무에 기표되는 금액.,Cost journalized in financial accounting based on production volume at completion. Standard cost × production volume (actual completed receipt quantity). Amount posted to Finance.
2502,TAS,Time Accounting System,근태 관리 시스템
2503,Tax amount,"영업세, 원천징수된 세금, 매출부가가치세, 매입부가가치세 등으로 기표되어 과세당국에 보고해야 하는 금액.","영업세, 원천징수된 세금, 매출부가가치세, 매입부가가치세 등으로 기표되어 과세당국에 보고해야 하는 금액."
2504,Tax base amount,세금계산의 대상이 되는 금액. 나라에 따라 현금할인액이 (부가가치세의)과세표준에 포함되거나 제외된다.,Taxable Amount: 세금 계산의 기준이 되는 금액. 국가에 따라 현금 할인액이 부가가치세 과세표준에 포함되거나 제외될 수 있다.
2505,Tax code,세금을 구분하고 계산하는데에 필요한 정보를 나타내는 두자리 코드. 세금코드에서 규정하는 정보에는 다음과 같은 것들이 있다- 세율- 세금종류(매입부가가치세 또는 매출부가가치세)- 계산방법(%포함 또는 %제외),세금을 구분하고 계산하는데에 필요한 정보를 나타내는 두자리 코드. 세금코드에서 규정하는 정보에는 다음과 같은 것들이 있다- 세율- 세금종류(매입부가가치세 또는 매출부가가치세)- 계산방법(%포함 또는 %제외)
2506,TBA,To Be Announced,추후 발표 예정
2507,TBD,To Be Determined,추후 결정 예정
2508,TCCI,Trading Company Commercial Invoices,무역회사 상업송장
2509,TCE,"1,1,2 Trichloroethylene","1,1,2 Trichloroethylene"
2510,TCM,Total Cost Management,총비용 관리
2511,TCO,True Carry Over,True Carry Over
2512,TCP,Tunnel Cured Phylon,Tunnel Cured Phylon
2513,TD,Toddler,유아용
2514,TD,Technical Difficulty,기술적 난이도
2515,TD,Test Director,Test Director
2516,TDD,Target Duty Driver,Target Duty Driver
2517,TDD,Technical Development Director,Technical Development Director
2518,TDI,Thailand Daily Inspection,Thailand Daily Inspection
2519,TDL Press,Two Day Light Outsole Press,Two Day Light Outsole Press
2520,TDM,Total Development Meeting,Total Development Meeting
2521,TDM,Tear Down Meeting,분해 검토 미팅
2522,TDMC,Total Develop Management Committee,Total Develop Management Committee
2523,TDR,Tear Down And Redesign,분해 후 재설계
2524,TDRL,Tear Down and Re-Design,분해 및 재설계
2525,TDS,Technical Data Sheet,기술 데이터 시트
2526,TE,Tooling Engineer,Tooling Engineer
2527,Terms of payment,거래대금의 지불에 대해 거래상대방과 합의한 조건.,거래대금의 지불에 대해 거래상대방과 합의한 조건.
2528,TEU,Twenty Foot Equivalent Unit,Twenty Foot Equivalent Unit
2529,TFB,Canada Footlocker Basketball,Canada Footlocker Basketball
2530,TFF,Canada Footlocker Fitness,Canada Footlocker Fitness
2531,TFK,Canada Footlocker Childrens,Canada Footlocker 아동용
2532,TFO,Canada Footlocker Other,캐나다 Footlocker 기타
2533,TFQ,Canada Footlocker Racquet,캐나다 풋락커 라켓
2534,TFR,Canada Footlocker Running,Canada Footlocker 러닝
2535,TFT,Task Force Team,Task Force Team
2536,TGA,Thermal Gravimetric Analyzer,열중량 분석기
2537,TGF,Toll Global Forwarding,Toll Global Forwarding
2538,TH/EMB,Thread/Embroidery Thread,Thread/Embroidery Thread
2539,TH/M,Thread/Miscellaneous,실/기타
